id,tipo,origen,aditivo,clasificación,aditivos_alergicos
E100,No nocivo,Vegetal,Curcumina,Colorante Colorantes,"Dont worry, be happy!"
E101,No nocivo,Animal,Riboflavina,Colorante Colorantes,"Warning, this could kill you!"
E102,¡Peligroso!,Químico o sintético,"Tartracina, Tartrazina, Tartrazine, Amarillo 5, Yellow 5",Colorante Colorantes,"Dont worry, be happy!"
E104,¡Peligroso!,Químico o sintético,"Amarillo quinoleina, quinoline yellow",Colorante Colorantes,"Dont worry, be happy!"
E106,No nocivo,Indeterminado,Lactoflavina,Colorante Colorantes,"Warning, this could kill you!"
E110,¡Peligroso!,Químico o sintético,"Amarillo naranja, sunset yellow",Colorante Colorantes,"Dont worry, be happy!"
E120,¡Peligroso!,Animal,Cochinilla,Colorante Colorantes,"Dont worry, be happy!"
E122,¡Peligroso!,Químico o sintético,"Azorrubina, Carmoisina, Carmoisine, Red 3, Azorubina S, Brillantcarmoisin O, Acid Red 14, C.I. 14720",Colorante Colorantes,"Dont worry, be happy!"
E123,¡Peligroso!,Químico o sintético,Amaranto,Colorante Colorantes,"Dont worry, be happy!"
E124,¡Peligroso!,Químico o sintético,Ponceau 4R,Colorante Colorantes,"Dont worry, be happy!"
E127,¡Peligroso!,Químico o sintético,Eritrosina,Colorante Colorantes,"Dont worry, be happy!"
E128,¡Peligroso!,Químico o sintético,Rojo 2G,Colorante Colorantes,"Dont worry, be happy!"
E129,¡Peligroso!,Químico o sintético,"Rojo allura AC, allura red",Colorante Colorantes,"Dont worry, be happy!"
E131,¡Peligroso!,Químico o sintético,Azul patentado,Colorante Colorantes,"Dont worry, be happy!"
E132,No nocivo,Químico o sintético,Indigotina,Colorante Colorantes,"Dont worry, be happy!"
E133,Sospechoso,Químico o sintético,Azul,Colorante Colorantes,"Dont worry, be happy!"
E140,No nocivo,Vegetal,Clorofilas,Colorante Colorantes,"Dont worry, be happy!"
E141,Sospechoso,Químico o sintético,Compuesto de clorofila,Colorante Colorantes,"Dont worry, be happy!"
E142,¡Peligroso!,Químico o sintético,Verde ácido,Colorante Colorantes,"Dont worry, be happy!"
E150,Sospechoso,Indeterminado,Caramelo,Colorante Colorantes,"Warning, this could kill you!"
E151,¡Peligroso!,Químico o sintético,Negro brillante,Colorante Colorantes,"Dont worry, be happy!"
E153,Sospechoso,Indeterminado,Carbón vegetal o animal,Colorante Colorantes,"Dont worry, be happy!"
E154,¡Peligroso!,Químico o sintético,Marrón FK,Colorante Colorantes,"Dont worry, be happy!"
E155,¡Peligroso!,Químico o sintético,Marrón HT,Colorante Colorantes,"Dont worry, be happy!"
E160,No nocivo,Químico o sintético,Carotenoides,Colorante Colorantes,"Dont worry, be happy!"
E161,No nocivo,Químico o sintético,Xantofilas,Colorante Colorantes,"Dont worry, be happy!"
E162,No nocivo,Químico o sintético,Betanina,Colorante Colorantes,"Dont worry, be happy!"
E163,No nocivo,Vegetal,Antocianinas,Colorante Colorantes,"Dont worry, be happy!"
E170,No nocivo,Químico o sintético,"Carbonato de calcio, Carbonato cálcico, Carbonato Ca",Colorante Colorantes,"Dont worry, be happy!"
E171,Sospechoso,Químico o sintético,Dióxido de Titanio,Colorante Colorantes,"Dont worry, be happy!"
E172,No nocivo,Químico o sintético,"Óxido de hierro, Óxido de Fe",Colorante Colorantes,"Dont worry, be happy!"
E173,Sospechoso,Químico o sintético,Aluminio,Colorante Colorantes,"Dont worry, be happy!"
E174,Sospechoso,Químico o sintético,Plata,Colorante Colorantes,"Dont worry, be happy!"
E175,Sospechoso,Químico o sintético,Oro,Colorante Colorantes,"Dont worry, be happy!"
E180,¡Peligroso!,Químico o sintético,Pigmento rojo,Colorante Colorantes,"Dont worry, be happy!"
E200,No nocivo,Químico o sintético,Ácido sórbico,Conservante Conservantes,"Dont worry, be happy!"
E201,No nocivo,Químico o sintético,"Sorbato de sodio, Sorbato sódico, Sorbato de Na",Conservante Conservantes,"Dont worry, be happy!"
E202,Sospechoso,Químico o sintético,"Sorbato de potasio, Sorbato potásico, Sorbato de K, Sal de potasio del ácido sórbico",Conservante Conservantes,"Dont worry, be happy!"
E203,No nocivo,Químico o sintético,"Sorbato de calcio, Sorbato cálcico, Sorbato Ca",Conservante Conservantes,"Dont worry, be happy!"
E210,¡Peligroso!,Químico o sintético,Ácido benzoico,Conservante Conservantes,"Dont worry, be happy!"
E211,¡Peligroso!,Químico o sintético,"Benzoato de sodio, Benzoato sódico, Benzoato Na",Conservante Conservantes,"Dont worry, be happy!"
E212,¡Peligroso!,Químico o sintético,"Benzoato de potasio, Benzoato potásico, Benzoato K",Conservante Conservantes,"Dont worry, be happy!"
E213,¡Peligroso!,Químico o sintético,"Benzoato de calcio, Benzoato cálcico, Benzoato Ca",Conservante Conservantes,"Dont worry, be happy!"
E214,¡Peligroso!,Químico o sintético,P-Hidroxilo Etilo,Conservante Conservantes,"Dont worry, be happy!"
E215,¡Peligroso!,Químico o sintético,Derivado H.E.,Conservante Conservantes,"Dont worry, be happy!"
E216,¡Peligroso!,Químico o sintético,Hidroxilo Propilo,Conservante Conservantes,"Dont worry, be happy!"
E217,¡Peligroso!,Químico o sintético,Derivado H.P.,Conservante Conservantes,"Dont worry, be happy!"
E218,¡Peligroso!,Químico o sintético,Hidroxilo Metilo,Conservante Conservantes,"Dont worry, be happy!"
E219,¡Peligroso!,Químico o sintético,Hidróxido M. de Na,Conservante Conservantes,"Dont worry, be happy!"
E220,¡Peligroso!,Químico o sintético,"Anhídrido sulfuroso, Dióxido de azufre, Óxido de azufre (IV)",Conservante Conservantes,"Dont worry, be happy!"
E221,Sospechoso,Químico o sintético,"Sulfito de sodio, Sulfito sódico, Sulfito de Na",Conservante Conservantes,"Dont worry, be happy!"
E222,Sospechoso,Químico o sintético,"Bisulfito de sodio, Bisulfito sódico, Bisulfito de Na",Conservante Conservantes,"Dont worry, be happy!"
